#city,county,state,lat,lon
Calpella,Mendocino,California,39.150278,-123.206667
Calpine,Sierra,California,39.651699,-120.4442
Camarillo,Ventura,California,34.231328,-119.046361
Cambria,San Luis Obispo,California,35.556568,-121.084029
Camino,El Dorado,California,38.744938,-120.671979
Camp Meeker,Sonoma,California,38.425278,-122.958333
Camp Nelson,Tulare,California,36.130278,-118.817222
Camp Pendleton,San Diego,California,33.327929,-117.409452
Campbell,Santa Clara,California,37.280007,-121.95539
Campo,San Diego,California,32.660491,-116.490459
Campo Seco,Calaveras,California,38.227222,-120.852222
Camptonville,Yuba,California,39.450784,-121.023066
Canby,Modoc,California,41.466358,-120.921769
Canoga Park,Los Angeles,California,34.199257,-118.59828
Cantil,Kern,California,35.282558,-117.993868
Cantua Creek,Fresno,California,36.492123,-120.335252
Canyon,Contra Costa,California,37.831667,-122.186667
Canyon Country,Los Angeles,California,34.426203,-118.449011
Canyon Dam,Plumas,California,40.207958,-121.156324
Capay,Yolo,California,38.696964,-122.100993
Capistrano Beach,Orange,California,33.459115,-117.662657
Capitola,Santa Cruz,California,36.977359,-121.952145
Cardiff By The Sea,San Diego,California,33.025265,-117.274371
Carlotta,Humboldt,California,40.507027,-123.974287
Carlsbad,San Diego,California,33.160241,-117.324998
Carmel,Monterey,California,36.4478,-121.8395
Carmel By The Sea,Monterey,California,36.5546,-121.9203
Carmel Valley,Monterey,California,36.478709,-121.724356
Carmichael,Sacramento,California,38.628393,-121.328683
Carnelian Bay,Placer,California,39.231937,-120.075328
Carpinteria,Santa Barbara,California,34.403589,-119.518257
Carson,Los Angeles,California,33.822968,-118.268352
Caruthers,Fresno,California,36.535847,-119.844581
Casmalia,Santa Barbara,California,34.838056,-120.530278
Caspar,Mendocino,California,39.365102,-123.798489
Cassel,Shasta,California,40.907832,-121.524497
Castaic,Los Angeles,California,34.488889,-118.621944
Castella,Shasta,California,41.138611,-122.316667
Castro Valley,Alameda,California,37.701527,-122.078183
Castroville,Monterey,California,36.77142,-121.747368
Cathedral City,Riverside,California,33.809839,-116.466497
Catheys Valley,Mariposa,California,37.441409,-120.069017
Cayucos,San Luis Obispo,California,35.444606,-120.890791
Cazadero,Sonoma,California,38.566335,-123.182896
Cedar Glen,San Bernardino,California,34.253889,-117.163889
Cedar Ridge,Nevada,California,39.198889,-121.02
Cedarpines Park,San Bernardino,California,34.25,-117.325
Cedarville,Modoc,California,41.475871,-120.151551
Ceres,Stanislaus,California,37.588097,-120.949936
Cerritos,Los Angeles,California,33.858333,-118.063889
Challenge,Yuba,California,39.4875,-121.2225
Chatsworth,Los Angeles,California,34.258253,-118.591357
Chester,Plumas,California,40.297457,-121.227338
Chicago Park,Nevada,California,39.145278,-120.966111
Chico,Butte,California,39.756466,-121.851806
Chilcoot,Plumas,California,39.805683,-120.175212
Chinese Camp,Tuolumne,California,37.856829,-120.406673
Chino,San Bernardino,California,34.012222,-117.688056
Chino Hills,San Bernardino,California,33.979735,-117.730791
Chowchilla,Madera,California,37.101371,-120.269077
Chualar,Monterey,California,36.595042,-121.431964
Chula Vista,San Diego,California,32.64,-117.0833
Cima,San Bernardino,California,35.237778,-115.498333
Citrus Heights,Sacramento,California,38.694571,-121.269211
City Of Industry,Los Angeles,California,34.0197,-117.9577
Claremont,Los Angeles,California,34.109167,-117.718293
Clarksburg,Yolo,California,38.395963,-121.556853
Clayton,Contra Costa,California,37.915442,-121.909967
Clearlake,Lake,California,38.957138,-122.636089
Clearlake Oaks,Lake,California,39.034838,-122.66873
Clearlake Park,Lake,California,38.967778,-122.653889
Clements,San Joaquin,California,38.190833,-121.087222
Clio,Plumas,California,39.74326,-120.560458
Clipper Mills,Butte,California,39.532778,-121.156389
Cloverdale,Sonoma,California,38.799396,-123.011725
Clovis,Fresno,California,36.8243,-119.6824
Coachella,Riverside,California,33.674965,-116.177231
Coalinga,Fresno,California,36.162435,-120.348928
Coarsegold,Madera,California,37.221378,-119.745545
Cobb,Lake,California,38.822222,-122.721944
Coleville,Mono,California,38.502903,-119.482784
Colfax,Placer,California,39.076936,-120.960163
Coloma,El Dorado,California,38.8,-120.889167
Colton,San Bernardino,California,34.057964,-117.318577
Columbia,Tuolumne,California,38.03975,-120.405552
Colusa,Colusa,California,39.21311,-122.011563
Comptche,Mendocino,California,39.249919,-123.585652
Compton,Los Angeles,California,33.890654,-118.239044
Concord,Contra Costa,California,37.950434,-122.026296
Cool,El Dorado,California,38.903633,-120.972963
Copperopolis,Calaveras,California,37.937246,-120.638374
Corcoran,Kings,California,36.086455,-119.560665
Corning,Tehama,California,39.929566,-122.195991
Corona,Riverside,California,33.8815,-117.6078
Corona Del Mar,Orange,California,33.602066,-117.874331
Coronado,San Diego,California,32.68069,-117.169823
